name,MetalContent,Metal,GradingService,ProductType,BullionType,CountryofOrigin,SellFormula,Rank
OEM Box & COA - 50th Anniv. Kennedy Half-Dollar Gold Coin (2014),0,0,5,5,5,1,3,4
2016 1 oz Silver Panda Pendant (Diamond-ScrewTop Bezel),0.9645,2,5,4,7,1,3,4
OEM Box & COA - 1994 4-Coin Proof Gold American Eagle Set,0,0,5,5,5,1,3,4
OEM Box & COA - 1989 4-Coin Proof Gold American Eagle Set,0,0,5,5,5,1,3,4
OEM Box & COA - 2008-W 4-Coin Proof Gold Eagle Set,0,0,5,5,5,1,3,4
2015 America the Beautiful Proof Set (Quarters Only),0,0,5,3,13,1,3,4
"2015 America the Beautiful Proof Set (Silver, Quarters Only)",0.904,2,5,3,13,1,3,4
OEM Box & COA - 2007-W Proof 1 oz Gold Buffalo,0,0,5,5,5,1,3,4
OEM Box & COA - 1988 1 oz Proof Gold American Eagle,0,0,5,5,5,1,3,4
OEM Box & COA - 1986 1 oz Proof Gold American Eagle,0,0,5,5,5,1,3,4
2015-W Burnished Silver Eagle MS-70 NGC (First Day of Issue),1,2,2,3,2,1,3,4
2016 Australia 1 oz Silver Five Blessings (w/Box & COA),1,2,5,3,2,4,3,4
2015 Mexico 1 kilo Silver Libertad BU (In Capsule),32.15,2,5,2,2,6,1,3
1904-O $10 Liberty Gold Eagle MS-61 NGC,0.4838,1,2,2,2,1,3,4
2016 AUS 1 oz Silver Kangaroo MS-69 NCG Mint Error (Struck Thru),1,2,2,1,2,4,1,4
1988 China 1 oz Palladium Panda PF-67 NGC (New York Coin Expo),1,4,2,3,13,7,3,4
1990 China 1/4 oz Proof Platinum Panda PF-69 NGC,0.1,3,2,3,13,7,3,4
"2011-P Australia 1 oz Silver Kangaroo PF-70 NGC (HR, 1st 4000)",1,2,2,3,13,4,3,4
1997 China 1/10 oz Gold Coin of Auspicious Matters MS-69 NGC,0.1,1,2,3,2,7,3,4
1986 China 1/4 oz Proof Gold Panda PF-67 NGC,0.25,1,2,3,13,7,1,4
2015 China 1/4 oz Gold Panda MS-69 NGC,0.25,1,2,3,2,7,1,4
2011-D Army 1/2 Dollar Clad Commemorative BU (Box & COA),0,0,5,3,2,1,3,4
1957-D Franklin Half Dollar MS-63 PCGS (FBL),0.3617,2,1,3,2,1,3,4
2015 1/10 oz Gold American Eagle BU (w/APMEX Gift Box),0.1,1,5,1,2,169,15,3
2015 1/4 oz Gold American Eagle BU (w/APMEX Gift Box),0.25,1,5,1,2,169,15,3
2015 1/2 oz Gold American Eagle BU (w/APMEX Gift Box),0.5,1,5,1,2,169,15,3
2015 1 oz Gold American Eagle BU (w/APMEX Gift Box),1,1,5,1,2,169,1,3
2015 1 oz Silver American Eagle BU (w/APMEX Gift Box),1,2,5,1,2,169,1,3
1988-S Olympic $1 Silver Commem Proof (Capsule Only),0.7734,2,5,2,13,1,1,4
1850-C $5 Liberty Gold Half Eagle AU-55 PCGS,0.2419,1,1,3,2,1,3,4
1987-S Constitution $1 Silver Commem Proof (Capsule Only),0.7734,2,5,2,13,1,3,4
1855-C $5 Liberty Gold Half Eagle VF-25 PCGS (OGH),0.2419,1,1,3,2,1,3,4
1925 $20 St. Gaudens Gold Double Eagle MS-65+ NGC,0.9675,1,2,3,2,1,1,4
2016 Great Britain Gold 1 oz Britannia BU - eBay,1,1,5,1,2,223,1,4
Wood Storage Box w/Two Trays for 32 Direct-Fit H-Style Capsules,0,0,5,5,5,7,3,4
"5,000 gram Silver Rod - Heimerle & Meule",160.75,2,5,1,3,13,1,4
"1,000 gram Silver Rod- Heimerle & Meule",32.15,2,5,1,4,13,1,4
"5,000 gram Silver Bar - Heimerle & Meule (Cast)",160.75,2,5,1,3,13,1,4
"1,000 gram Silver Bar - Heimerle & Meule (Cast)",32.15,2,5,1,3,13,1,4
1 oz Silver Square Bar - Heimerle & Meule (Cast),1,2,5,1,3,13,1,4
1 oz Gold Square Bar - Heimerle & Meule (Cast),1,1,5,1,3,13,1,4
10x 1/10 oz Gold CombiBar® - Heimerle & Meule,1,1,5,1,3,13,1,4
50x 1 gram Gold CombiBar® - Heimerle & Meule,1.608,1,5,1,3,13,1,4
100x 1 gram Gold CombiBar® - Heimerle & Meule,3.215,1,5,1,3,13,1,4
2015 Isle of Man 1/20 oz Gold Christmas Angel BU,0.05,1,5,3,2,9,1,4
2015 British Antarctic 1 oz Silver Trans-Antarctic Expedition,1,2,5,3,13,2,3,4
50 State Quarter U.S. (Silver) Proof Set (1999-2008) PR-69 PCGS,0,0,1,3,13,1,3,4
1995-S Olympic Baseball 1/2 Dollar Clad Commem PR (Capsule only),0,0,5,3,13,1,3,4
"2015 Canada 1 kilo Proof Gold $2,500 Looney Tunes",32.15,1,5,3,13,2,3,4
1995-D Olympic Cycling $1 Silver Commemorative BU (Capsule Only),0.7734,2,5,3,2,1,3,4
1996-S Community Service $1 Silver Commem BU (Capsule Only),0.7734,2,5,3,2,1,3,4
1991-D USO $1 Silver Commem BU (Capsule Only),0.7734,2,5,2,2,1,1,4
1996-D Paralympic $1 Silver Commem BU (Capsule only),0.7734,2,5,3,2,1,3,4
2015 Austria Gold €100 The Capercaillie Proof,0.5072,1,5,3,13,8,3,3
1996-D Olympic Rowing $1 Silver Commem BU (Capsule Only),0.7734,2,5,3,2,1,3,4
2001 South Africa 3-Coin Gold Natura Oryx Prestige Proof Set,0.85,1,5,2,13,3,1,4
1991-S USO $1 Silver Commem Proof (w/Box & COA),0.7734,2,5,2,13,1,1,4
1994-D Capitol $1 Silver Commem BU (Capsule Only),0.7734,2,5,3,2,1,3,4
1994-D World Cup 1/2 Dollar Clad Commem BU (Capsule Only),0,0,5,3,2,1,3,4
2016 1 oz Silver Ivory Coast Elephant Coin,1,2,5,2,2,13,3,4
2003 South Africa 3-Coin Gold Natura Lion Prestige Proof Set,0.85,1,5,2,13,3,1,4
1962 Vatican City Gold Medal Pope John XXIII AU,0.3038,1,5,3,2,76,1,4
1959 Peru Gold 100 Soles Liberty MS-64 NGC,1.3544,1,2,2,2,46,3,4
1965 Peru Gold 100 Soles Liberty MS-65 NGC,1.3544,1,2,2,2,46,3,4
1978 South Africa 1 oz Gold Krugerrand PF-69 NGC,1,1,2,2,13,3,1,4
"100-Coin 1 oz Gold Britannia Monster Box (Empty, Black )",0,0,5,5,5,223,3,4
1884-O Morgan Dollar MS-65+ NGC (GSA),0.7734,2,13,3,2,1,3,4
1804 Mexico Gold Escudo Charles IV AU,0.0952,1,5,3,2,1,3,4
2013 5 oz Silver ATB Perry's Victory MS-69 DMPL PCGS (FS),5,2,1,3,2,1,1,4
2012-P 5 oz Silver ATB Chaco Culture SP-69 PCGS (FS),5,2,1,3,14,1,3,4
"1934 (K-Dallas) $1,000 FRN VF-30 PMG FR#2211-K",0,0,9,6,6,1,3,4
2016 Cook Islands Silver Quilling Art (Flowers),0.5,2,5,3,13,13,3,4
1873-1900 Denmark Gold 10 Kroner Christian IX Unc PCGS/NGC,0.1288,1,14,3,2,19,1,4
2014 Japan 1 oz Silver 1000 Yen 50th Anniversary Shinkansen Proof,1,2,5,3,13,73,3,4
2016 Cook Islands 1/2 oz Silver World of Hunting Moose,0.5,2,5,3,13,13,3,4
2016 Cook Islands 1/2 oz Silver World of Hunting Alpine Ibex,0.5,2,5,3,13,13,3,4
2015 Mongolia 1/2 gram Pf Gold 1000 Togrog Evolution (Ammonite),0.016,1,5,3,13,13,3,4
Palau 1/2 gram Golden Imperial Egg 2 w/Convex Shape Proof,0.016,1,5,3,13,13,3,4
2016 Australia 1 kilo Silver Lunar Monkey PF-70 PCGS,32.15,2,5,3,13,4,1,4
2016 Australia 1 kilo Silver Lunar Monkey PF-69 PCGS,32.15,2,5,3,13,4,1,4
1924 Huguenot-Walloon Tercentenary Half Dollar MS-67+ NGC (CAC),0.3617,2,2,3,2,1,3,4
1951 Washington-Carver Half MS-67 NGC,0.3617,2,1,3,2,1,3,4
1951-S Washington-Carver Half MS-66 PCGS,0.3617,2,1,3,2,1,3,4
1951 Booker T. Washington Half MS-66 PCGS,0.3617,2,1,3,2,1,3,4
1947-D Booker T. Washington Half Dollar MS-67 PCGS,0.3617,2,1,3,2,1,3,4
1927 Vermont Sesquicentennial Half Dollar MS-67 PCGS,0.3617,2,1,3,2,1,3,4
1935 Texas Half Dollar MS-67 PCGS,0.3617,2,1,3,2,1,3,4
1938 Texas Half Dollar MS-67 PCGS,0.3617,2,1,3,2,1,3,4
1935 Old Spanish Trail Half Dollar MS-67 PCGS,0.3617,2,1,3,2,1,3,4
1935-S San Diego Half Dollar MS-67 PCGS,0.3617,2,1,3,2,1,3,4
1936 Robinson-Arkansas Half Dollar MS-67+ NGC,0.3617,2,2,3,2,1,3,4
1936-S Rhode Island Half Dollar MS-67 Star NGC,0.3617,2,2,3,2,1,3,4
1921 Pilgrim Tercentenary Half Dollar MS-67 PCGS,0.3617,2,1,3,2,1,3,4
1923-S Monroe Doctrine Commem Half Dollar MS-66 PCGS,0.3617,2,1,3,2,1,3,4
1921 Missouri Half Dollar 2*4 MS-66 PCGS,0.3617,2,1,3,2,1,3,4
1938 Oregon Trial Half Dollar MS-67 PCGS,0.3617,2,1,3,2,1,3,4
"1936 Norfolk, VA Half Dollar MS-68+ NGC (CAC)",0.3617,2,2,3,2,1,3,4
"1936 Norfolk, VA Half Dollar MS-68 PCGS",0.3617,2,1,3,2,1,3,4
1921 Missouri Half Dollar Centennial MS-65 PCGS,0.3617,2,1,3,2,1,3,4
1934 Maryland Tercentenary Half Dollar MS-67 PCGS,0.3617,2,1,3,2,1,3,4
1918 Lincoln Illinois Centennial Half Dollar MS-67 Star NGC,0.3617,2,2,3,2,1,3,4
1925 Lexington Concord Sesquicentennial MS-66 PCGS,0.3617,2,1,3,2,1,3,4
1946 Iowa Centennial Half Dollar MS-68+ NGC (CAC),0.3617,2,2,3,2,1,3,4
1936 Elgin Half MS-67 PCGS,0.3617,2,1,3,2,1,3,4
1925-S California Half Dollar MS-67 NGC,0.3617,2,2,3,2,1,3,4
1937-S Boone Half Dollar MS-66 PCGS,0.3617,2,1,3,2,1,3,4
2015 Australia 1 kilo Silver Lunar Monkey (Gemstone Eye),32.15,2,5,2,2,4,1,4
1935/1934-D Daniel Boone Half Dollar MS-66 PCGS,0.3617,2,1,3,2,1,3,4
1937 Arkansas Half Dollar MS-67 PCGS,0.3617,2,1,3,2,1,3,4
1936 Albany NY Charter 250th Anniversary Commem MS-67 PCGS,0.3617,2,1,3,2,1,3,4
2016 Tuvalu 1/2 oz Silver Always Together Proof,0.5,2,5,3,13,4,3,4
1921 2X2 Alabama Centennial Half Dollar MS-66 PCGS,0.3617,2,1,3,2,1,3,4
1900 Lafayette Dollar MS-65 PCGS,0.7734,2,1,3,2,1,3,4
2016 Australia 1 oz Silver Opal Lunar Monkey Proof,1,2,5,3,13,4,3,4
2016 Australia 1 oz Silver Wedding Proof,1,2,5,3,13,4,3,4
1873 Liberty Seated Half Dollar CL 3 No Arrows MS-65 Star NGC,0.3866,2,2,3,2,1,3,4
1929-S Standing Liberty Quarter MS-66 FH PCGS,0.1808,2,1,3,2,1,3,4
2016 Tuvalu 1/2 oz Silver Newborn Baby Kookaburra Proof,0.5,2,5,3,13,4,3,4
1912 Barber Quarter PF-65 Cameo NGC,0.1808,2,2,3,13,1,3,4
1891 Liberty Seated Quarter MS-65 PCGS,0.18,2,1,3,2,1,3,4
2016 Australia 1/2 oz Silver Snugglepot and Cuddlepie Proof,0.5,2,5,3,13,4,3,4
1818/5 Capped Bust Quarter B-1 XF-45 NGC,0.1934,2,2,3,2,1,3,4
1819 Capped Bust Quarter Large 9 VF-35 PCGS (CAC),0.1934,2,1,3,2,1,3,4
1942/41 Mercury Dime AU-55 PCGS,0.0723,2,1,3,2,1,3,4
1917-D Mercury Dime MS-65 NGC (FB) (Broadstruck),0.0723,2,2,3,2,1,3,4
1912 Barber Dime MS-66 PCGS (CAC),0.0723,2,1,3,2,1,3,4
